rank,keyword,kategori,jumlah
1,bi,Pemerintah,159
2,mbg,Dampak Masyarakat,58
3,MBG,Dampak Masyarakat,58
4,rupiah,Kurs & Rupiah,54
5,dollar,Kurs & Rupiah,48
6,dolar,Ekonomi,47
7,rakyat,Dampak Masyarakat,36
8,presiden,Pemerintah,33
9,prabowo,Pemerintah,32
10,pemerintah,Pemerintah,26
11,harga,Dampak Masyarakat,18
12,impor,Ekonomi,15
13,ekonomi,Ekonomi,11
14,jokowi,Pemerintah,7
15,gaji,Dampak Masyarakat,7
16,kurs,Kurs & Rupiah,6
17,22.000,Kurs & Rupiah,6
18,krisis,Ekonomi,5
19,reformasi,Pemerintah,5
20,mahal,Dampak Masyarakat,4
21,panik,Sentimen,4
22,takut,Sentimen,4
23,konoha,Isu Sosial,4
24,usd,Kurs & Rupiah,3
25,nilai tukar,Kurs & Rupiah,3
26,pelemahan,Ekonomi,3
27,daya beli,Dampak Masyarakat,3
28,phk,Dampak Masyarakat,3
29,korupsi,Isu Sosial,3
30,18.000,Kurs & Rupiah,2
31,utang,Ekonomi,2
32,investasi,Ekonomi,2
33,ekspor,Ekonomi,2
34,suku bunga,Ekonomi,2
35,obligasi,Ekonomi,2
36,kemiskinan,Dampak Masyarakat,2
37,buruk,Sentimen,2
38,khawatir,Sentimen,2
39,pajak,Isu Sosial,2
40,inflasi,Ekonomi,1
41,resesi,Ekonomi,1
42,subsidi,Ekonomi,1
43,anggaran,Ekonomi,1
44,fiskal,Ekonomi,1
45,kebijakan,Ekonomi,1
46,bank indonesia,Pemerintah,1
47,bbm,Dampak Masyarakat,1
48,bensin,Dampak Masyarakat,1
49,pengangguran,Dampak Masyarakat,1
