no,komentar,sentimen,confidence
1,"Nilai tukar rupiah terhadap dolar Amerika Serikat semakin melemah. Pada perdagangan Jumat (15/5/2026), rupiah berada di level Rp17.600 per dolar AS.# Mengutip data Google Finance, rupiah kini bergerak di level Rp17.598 per dolar AS. Analis Mata Uang Doo Financial Futures, Lukman Leong memprediksi rupiah akan melemah hingga level Rp18.000 per dolar AS. Lukman mengatakan pelemahan mata uang Garuda dipicu kondisi geopolitik yang memanas antara AS dan Iran di Timur Tengah sehingga menguatkan indeks dolar AS. Dia menyebut untuk menstabilkan nilai rupiah maka bank sentral harus menaikkan suku bunga. - Selengkapnya kunjungi website dengan klik link di bio atau download aplikasi di AppStore dan Google Play Store. #InilahNews #DolarAS #NilaiTukarRupiah #DolarAS",Netral,0.9703
2,"Krisisnya sdh, reformasi jilid 2nya kapan?",Negatif,0.8711
3,"Yg ga ngerti kenapa Dollar ga boleh naik tinggi2, sini dijelasin. Indonesia itu adalah negara pengIMPORT. Semua diimport dari beras, kedelai, bensin, gula, sayur, gandum, dll dll dll. Nah loe kira import bayar pake rupiah? Ya pake dollar or mata uang asing lainnya, nah kalo mata uang ini semua naik, emang loe pikir yg jual ga bakalan naikin harga? Kalo harga udah naik, emang gaji loe yg ga naik cukup buat biaya hidup sama kasih makan keluarga loe? Daya beli turun, yg tdnya bs beli 3kg jd cuman beli 2kg kalo udah begini pengusaha untung makin sedikit kan? Terus lama2 yg kerja sama pengusaha ini dipecat2in karena makin sepi. Pengangguran dimana2, perusahaan banyak yg efisiensi dan tutup. Lama2 ya bubar.",Negatif,0.9715
4,Gapapa yang penting MBG tetap berjalan🔥,Positif,0.7174
5,Mantap X. Hasil kerja pejabag kita semuanya ini. Kabinet Gemuk hasilnya Nihil...... Tembus 25k dong,Negatif,0.6011
6,Bubar nih konoha😢,Negatif,0.9952
7,"Klo sampai menyentuh angka 22rb sih udah parah, perlu melakukan perbaikan dan perubahan secepatnya🔥",Negatif,0.8027
8,Oke gasss oke gassss MAKAN TU OKE GASSSS 😏😆,Positif,0.5181
9,22k? Gas pol 30k,Netral,0.9965
10,mr president be like “kan aku bisa kabur ke jordania lag wkwkwk”,Netral,0.5565
11,Yeyeyeyeyeyey menuju indonesia emasss👏,Netral,0.6336
12,@bem_si @bemui_official udh saat nya gerakin reformasi 🙌,Netral,0.7222
13,Kalau saya benar. Tolong di pin ya min 😄” AYO SEMENTARA 2026 JANGAN ADA YANG UPGRADE HP DAN KENDARAAN”,Netral,0.9623
14,"Yang penting MBG, Koperasi Merah Putih dan Proyek IKN NUSANTARA berjalan🔥",Netral,0.904
15,Kata prof Ferry dan prof Connie......July 22 ribu.....kmd Selesai.,Netral,0.9962
16,Dan mereka para pejabat ga peduli,Negatif,0.9982
17,Yang penting MBG jalan terusss🔥🔥,Positif,0.8924
18,Gpp yg penting MBG ttap jalan...proyek kaos kaki motor listrik... KDMP tetap jalan... lanjutkan Wo,Netral,0.5504
19,"#LawanDollar ‎Hashim mengatakan pasokan minyak yang didapatkan dengan harga khusus itu adalah hasil kunjungan Presiden Prabowo Subianto menemui Presiden Vladimir Putin di Istana Kremlin, Moskwa ‎Awalnya dalam pertemuan dengan Putin, jelas Hashim, awalnya Rusia menyetujui mengirim 100 juta barel dengan harga khusus. Akan tetapi, jumlah itu akan ditambah Rusia sebesar 50 juta barel untuk Indonesia dalam menghadapi gejolak dunia. ‎Kesepakatan dengan Rusia terkait komoditas emas hitam tersebut sebagai upaya dalam ketahanan energi dalam negeri, utamanya terhadap dampak perang di timur tengah yang meningkatkan kekhawatiran terhadap pasokan minyak global.",Netral,0.7917
20,SOLUSI NYA DEMO DEMO DAN DEMO 😡😡😡😡😡😡😡😡😡🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 KEMBALIKAN JAMAN 98 🔥🔥🔥🔥,Negatif,0.648
21,"Rupiah mau Rp.20.000,- ....Hancur Ekonomi....",Negatif,0.9944
22,Kaum elite joget riang,Positif,0.7178
23,Yg penting pertumbuhan ekonomi penguasa naik.... rakyat tercekik..tutup mata,Negatif,0.9927
24,"Ngeri harga harga skrg, jgn Sampai reformasi jilid 2",Negatif,0.996
25,"📌 TANDA KEHANCURAN ADALAH KETIKA AMANAH DISERAHKAN KEPADA YANG TIDAK KOMPETEN…. Nabi Shalallaahu Alaihi Wassalaam bersabda: “Apabila amanah disia-siakan, maka tunggulah kiamat.” Ada yang bertanya: “Bagaimana menyia-nyiakan amanah itu, wahai Rasulullah?” Beliau menjawab: “Jika suatu urusan diserahkan kepada yang bukan ahlinya, maka tunggulah kehancurannya.” (HR. Bukhari).",Negatif,0.5075
26,"UU Pangan Tahun 2025 sebut Indonesia harus mandiri pangan...... bukan swasembada pangan.... kalau bisa mandiri pangan... berarti sudah swasembada pangan... berarti juga tidak boleh ada sekecil apapun impot pangan semua komoditas.... itulah hakekat mandiri pangan.... Cemana petani, peternak, pekebun, petambak semangat berproduksi mandiri....jika pembayaran hasil produksinya... rupiah kertas toilet sampah yang dipaksakan penggunaannya, mata uang setan yang terus menerus merosot tajam daya belinya....biang kerok kemiskinan petani Indonesia",Negatif,0.9911
27,Ngk ada 1 pun yg peduli sama yg pakai Rp sehari hari untuk kebutuhan pokok.mereka semakin kaya dengan dolar😎🥹,Positif,0.4575
28,"😂😂😂😂😂😂😂😂😂😂😂😂 Sudah Selamatkan diri masing-masing anjayy Sudah Tidak ada Harapan lagi di Indonesia 🇮🇩 maaf, TNInya aja masuk bunker duluan dan banyak Melakukan Kriminal 😂🙏🏻",Negatif,0.9917
29,Lob naik lagi.. target pemerintah 20.000 😂😂😂😂😂,Netral,0.9924
30,Kata Wowo 2030 Indonesia bubar,Netral,0.756
31,Kapan neh di nepal si bowo,Netral,0.8319
