no,komentar
1,"Nilai tukar rupiah terhadap dolar Amerika Serikat semakin melemah. Pada perdagangan Jumat (15/5/2026), rupiah berada di level Rp17.600 per dolar AS.# Mengutip data Google Finance, rupiah kini bergerak di level Rp17.598 per dolar AS. Analis Mata Uang Doo Financial Futures, Lukman Leong memprediksi rupiah akan melemah hingga level Rp18.000 per dolar AS. Lukman mengatakan pelemahan mata uang Garuda dipicu kondisi geopolitik yang memanas antara AS dan Iran di Timur Tengah sehingga menguatkan indeks dolar AS. Dia menyebut untuk menstabilkan nilai rupiah maka bank sentral harus menaikkan suku bunga. - Selengkapnya kunjungi website dengan klik link di bio atau download aplikasi di AppStore dan Google Play Store. #InilahNews #DolarAS #NilaiTukarRupiah #DolarAS"
2,"Krisisnya sdh, reformasi jilid 2nya kapan?"
3,"Yg ga ngerti kenapa Dollar ga boleh naik tinggi2, sini dijelasin. Indonesia itu adalah negara pengIMPORT. Semua diimport dari beras, kedelai, bensin, gula, sayur, gandum, dll dll dll. Nah loe kira import bayar pake rupiah? Ya pake dollar or mata uang asing lainnya, nah kalo mata uang ini semua naik, emang loe pikir yg jual ga bakalan naikin harga? Kalo harga udah naik, emang gaji loe yg ga naik cukup buat biaya hidup sama kasih makan keluarga loe? Daya beli turun, yg tdnya bs beli 3kg jd cuman beli 2kg kalo udah begini pengusaha untung makin sedikit kan? Terus lama2 yg kerja sama pengusaha ini dipecat2in karena makin sepi. Pengangguran dimana2, perusahaan banyak yg efisiensi dan tutup. Lama2 ya bubar."
4,Gapapa yang penting MBG tetap berjalan🔥
5,Mantap X. Hasil kerja pejabag kita semuanya ini. Kabinet Gemuk hasilnya Nihil...... Tembus 25k dong
6,Bubar nih konoha😢
7,"Klo sampai menyentuh angka 22rb sih udah parah, perlu melakukan perbaikan dan perubahan secepatnya🔥"
8,Oke gasss oke gassss MAKAN TU OKE GASSSS 😏😆
9,22k? Gas pol 30k
10,mr president be like “kan aku bisa kabur ke jordania lag wkwkwk”
11,Yeyeyeyeyeyey menuju indonesia emasss👏
12,@bem_si @bemui_official udh saat nya gerakin reformasi 🙌
13,Kalau saya benar. Tolong di pin ya min 😄” AYO SEMENTARA 2026 JANGAN ADA YANG UPGRADE HP DAN KENDARAAN”
14,"Yang penting MBG, Koperasi Merah Putih dan Proyek IKN NUSANTARA berjalan🔥"
15,Kata prof Ferry dan prof Connie......July 22 ribu.....kmd Selesai.
16,Dan mereka para pejabat ga peduli
17,Yang penting MBG jalan terusss🔥🔥
18,Gpp yg penting MBG ttap jalan...proyek kaos kaki motor listrik... KDMP tetap jalan... lanjutkan Wo
19,"#LawanDollar ‎Hashim mengatakan pasokan minyak yang didapatkan dengan harga khusus itu adalah hasil kunjungan Presiden Prabowo Subianto menemui Presiden Vladimir Putin di Istana Kremlin, Moskwa ‎Awalnya dalam pertemuan dengan Putin, jelas Hashim, awalnya Rusia menyetujui mengirim 100 juta barel dengan harga khusus. Akan tetapi, jumlah itu akan ditambah Rusia sebesar 50 juta barel untuk Indonesia dalam menghadapi gejolak dunia. ‎Kesepakatan dengan Rusia terkait komoditas emas hitam tersebut sebagai upaya dalam ketahanan energi dalam negeri, utamanya terhadap dampak perang di timur tengah yang meningkatkan kekhawatiran terhadap pasokan minyak global."
20,SOLUSI NYA DEMO DEMO DAN DEMO 😡😡😡😡😡😡😡😡😡🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 KEMBALIKAN JAMAN 98 🔥🔥🔥🔥
21,"Rupiah mau Rp.20.000,- ....Hancur Ekonomi...."
22,Kaum elite joget riang
23,Yg penting pertumbuhan ekonomi penguasa naik.... rakyat tercekik..tutup mata
24,"Ngeri harga harga skrg, jgn Sampai reformasi jilid 2"
25,"📌 TANDA KEHANCURAN ADALAH KETIKA AMANAH DISERAHKAN KEPADA YANG TIDAK KOMPETEN…. Nabi Shalallaahu Alaihi Wassalaam bersabda: “Apabila amanah disia-siakan, maka tunggulah kiamat.” Ada yang bertanya: “Bagaimana menyia-nyiakan amanah itu, wahai Rasulullah?” Beliau menjawab: “Jika suatu urusan diserahkan kepada yang bukan ahlinya, maka tunggulah kehancurannya.” (HR. Bukhari)."
26,"UU Pangan Tahun 2025 sebut Indonesia harus mandiri pangan...... bukan swasembada pangan.... kalau bisa mandiri pangan... berarti sudah swasembada pangan... berarti juga tidak boleh ada sekecil apapun impot pangan semua komoditas.... itulah hakekat mandiri pangan.... Cemana petani, peternak, pekebun, petambak semangat berproduksi mandiri....jika pembayaran hasil produksinya... rupiah kertas toilet sampah yang dipaksakan penggunaannya, mata uang setan yang terus menerus merosot tajam daya belinya....biang kerok kemiskinan petani Indonesia"
27,Ngk ada 1 pun yg peduli sama yg pakai Rp sehari hari untuk kebutuhan pokok.mereka semakin kaya dengan dolar😎🥹
28,"😂😂😂😂😂😂😂😂😂😂😂😂 Sudah Selamatkan diri masing-masing anjayy Sudah Tidak ada Harapan lagi di Indonesia 🇮🇩 maaf, TNInya aja masuk bunker duluan dan banyak Melakukan Kriminal 😂🙏🏻"
29,Lob naik lagi.. target pemerintah 20.000 😂😂😂😂😂
30,Kata Wowo 2030 Indonesia bubar
31,Kapan neh di nepal si bowo
32,Mana peduli Prabowo mau dollar naik yang penting program dia mbg kopdes berjalan biarpun negara hancur sekalipun😂😂😂😂
33,Mahasiswa sibuk joget TIKTOK 😂😂😂😂
34,Korupsi gasss pool 👏👏👏 sampai ludes boss Jangan kasih ampun 👌👍
35,Intinya kalau rupiah udah 20.000 intinya Prabowo wajib jatuh dan segera revolusi & reformasi baru
36,Kali kabur lagi jangan lupa botinya dibawa juga ya pa
37,Akibat punya presiden yg cuman omong kosong mantan napi angkat jdi mentri kabinet napi
38,‼️🚀SIKATT🚀🚀 #BUBARknDPR #InstiTAIsi💩 💥
39,"Tenang ktnya bisa 5 rb, kapaaaaaan"
40,Percaya deh.. kalau sdh naik susah turunnya.
41,Rp 20rb 👍 👏👏👏
42,"Emang gue pikirin....hidup MBG,, hidup kopdes merah putih 🔥🔥"
